prompt,negative_prompt,seed,scale,w,h,batch,name,
"((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)), ((frills)), (1 girl), (solo), dynamic angle, big top sleeves, floating, beautiful detailed sky, on beautiful detailed water, beautiful detailed eyes, overexposure, (fist), expressionless, side blunt bangs, hairs between eyes, ribbons, bowties, buttons, bare shoulders, (((small breast))), detailed wet clothes, blank stare, pleated skirt, flowers","nsfw, owres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long neck, Humpbacked ",0,5.5,512,768,10,water,
"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle,  ((portrait)),  (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)),  ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless),  blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, jpeg artifacts, signature, watermark, username, blurry",0,4.5,512,768,10,kongjian,
"(((masterpiece))),best quality, illustration,(beautiful detailed girl),beautiful detailed glow,detailed ice,beautiful detailed water,(beautiful detailed eyes),expressionless,(floating palaces),azure hair,disheveled hair,long bangs, hairs between eyes,(skyblue dress),black ribbon,white bowties,midriff,{{{half closed eyes}}},big forhead,blank stare,flower,large top sleeves","owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,large breasts",0,7,512,768,10,ice,
"(((masterpiece))),best quality, illustration,(beautiful detailed girl),beautiful detailed glow,((flames of war)),(((nuclear explosion behide))),rain,detailed lighting,detailed water,(beautiful detailed eyes),expressionless,palace,azure hair,disheveled hair,long bangs,hairs between eyes,(whitegrey dress),black ribbon,white bowties,midriff,big forhead,blank stare,flower,long sleeves","Negative prompt: owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,large breasts",0,7,512,768,10,bomb,
"(((masterpiece))), (((best quality))), ((ultra-detailed)), (illustration), (1 girl), (solo), ((an extremely delicate and beautiful)), little girl, ((beautiful detailed sky)), beautiful detailed eyes, side blunt bangs, hairs between eyes, ribbons, bowties, buttons, bare shoulders, (small breast), blank stare, pleated skirt, close to viewer, ((breeze)), Flying splashes,  Flying petals, wind","nsfw, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, missing fingers,  bad hands, missing arms, long neck, Humpbacked, shadow, nude",0,5.5,512,768,10,wind,
"cinematic lighting, ((best quality)),((extremely_detailed_eyes_and_face)),((((ink)))),((illustration)),depth of field,((extremely detailed)),((watercolor)),((anime face)),(((dramatic_angle))),medium_breast,(8k_wallpaper),((bright_eyes)), (looking_at_viewers),(an detailed organdie dress),(((((very_close_to_viewers))))),((sleepy)),((masterpiece)),((((((surrounded_by_heavy_floating_sand_flow_and_floating_sharp_stones)))))),(((((messy_long_hair))))),((((veil)))),focus_on_face,(upper_body),(bare_shoulder),((((1girl)))),(golden_bracelet),(long yarn),((sunset)),lens_flare,light_leaks,((detailed_beautiful_desert_with_cactus)),medium_wind,(detailed_beautiful_sky)","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts,signature, watermark, username, blurry, artist name,bad feet,nude,skeleton_girl",0,5.5,512,768,10,sha,
"cinematic lighting, ((best quality)),((single_human_girl)),((((upper_body)))),((extremely_detailed_eyes_and_face)),((church)),((annoyed)),((ink)),((illustration)),depth of field,((frown)),((expression)),((red_eyes)),((((white_hair)))),((extremely detailed)),((watercolor)),((anime face)),(skull_on_dress),(((yokozuwari))),((detailed_skeleton_church)),(((beautiful_detailed_black_gothic_Empire_Waist_Dress))),(((dramatic_angle))),medium_breast,(8k_wallpaper),((bright_eyes)), (looking_at_viewers),((close_to_viewers)),((masterpiece)),(((((messy_long_hair))))),((((1girl)))),lens_flare,light_leaks","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts,signature, watermark, username, blurry, artist name,bad feet,nude,skeleton_girl",0,6.5,512,768,10,baigu,
"((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)), beautiful detailed eyes, (1girl:1.2),(solo), dynamic angle, dark magician girl,(black kneehighs:1.1),(starry tornado:1.4), starry Nebula, ((frills)), beautiful detailed sky, beautiful detailed eyes,evil smile, expressionless,hairs between eyes,  white  hair,pleated skirt,((disreveled hair))","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms",0,6,512,768,10,satr,
"{{masterpiece}}, flat chestbest quality},{highres},solo,flat_chest,a girl inside the church with white hair and blue pupil surrounded by {many} glowing {feathers} in cold face,detailed face,night with bright colorful lights whith richly layered clouds and clouded moon in the detailed sky,{a lot of glowing particles},high ponytail,mecha clothes,robot girl,cool movement,sliver bodysuit,{filigree},delicate and (intricate) hair,((sliver)) and (broken) body,blue streaked hair,full body,Depth of field, sitting on a {blue star}","lowres, bad anatomy, bad legs,bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg,artifacts,signature,watermark, username, blurry, bad feet,artist name,bad anatomy,bad hands,bad body,bad proportions，worst quality,low quality，optical_illusion",0,12,512,768,10,kaizhong,
"((((ink)))，((watercolor))，world masterpiece theater, ((best quality))，depth of field,((illustration))，(1 girl)，anime face，medium_breast,floating，beautiful detailed sky，looking_at_viewers，an detailed organdie dress，very_close_to_viewers，bare_shoulder，golden_bracelet，focus_on_face，messy_long_hair，veil，upper_body，,lens_flare,light_leaks,bare shoulders，detailed_beautiful_Snow Forest_with_Trees， spirit，grey_hair，White clothes，((Snowflakes)),floating sand flow,navel,(beautiful detailed eyes), (8k_wallpaper)","nsfw, owres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long neck, Humpbacked，Glasses",0,7,512,768,10,senlinbing,
